Drug_Name,Pressure,Temperature,Timestamp,Year
diltiazem hydrochloride,18.0,20.0,2020-10-15 10:30:00,2020
diltiazem hydrochloride,19.0,20.0,2020-10-15 11:30:00,2020
diltiazem hydrochloride,20.0,21.0,2020-10-15 12:30:00,2020
diltiazem hydrochloride,12.0,23.0,2020-10-15 01:30:00,2020
diltiazem hydrochloride,13.0,22.0,2020-10-15 02:30:00,2020
diltiazem hydrochloride,17.568421052631578,24.326315789473686,2020-10-15 03:30:00,2020
diltiazem hydrochloride,11.0,21.0,2020-10-15 04:30:00,2020
diltiazem hydrochloride,13.0,21.0,2020-10-15 05:30:00,2020
diltiazem hydrochloride,14.0,22.0,2020-10-15 06:30:00,2020
diltiazem hydrochloride,16.0,23.0,2020-10-15 07:30:00,2020
diltiazem hydrochloride,16.0,21.0,2020-10-15 08:30:00,2020
diltiazem hydrochloride,24.0,22.0,2020-10-15 09:30:00,2020
docetaxel injection,26.0,23.0,2020-10-15 10:30:00,2020
docetaxel injection,29.0,25.0,2020-10-15 11:30:00,2020
docetaxel injection,28.0,25.0,2020-10-15 12:30:00,2020
docetaxel injection,17.568421052631578,24.326315789473686,2020-10-15 01:30:00,2020
docetaxel injection,22.0,17.0,2020-10-15 02:30:00,2020
docetaxel injection,22.0,18.0,2020-10-15 03:30:00,2020
docetaxel injection,17.568421052631578,24.326315789473686,2020-10-15 04:30:00,2020
docetaxel injection,22.0,17.0,2020-10-15 05:30:00,2020
docetaxel injection,23.0,18.0,2020-10-15 06:30:00,2020
docetaxel injection,17.568421052631578,24.326315789473686,2020-10-15 07:30:00,2020
docetaxel injection,17.568421052631578,24.326315789473686,2020-10-15 08:30:00,2020
docetaxel injection,27.0,23.0,2020-10-15 09:30:00,2020
ketamine hydrochloride,9.0,22.0,2020-10-15 10:30:00,2020
ketamine hydrochloride,9.0,21.0,2020-10-15 11:30:00,2020
ketamine hydrochloride,11.0,20.0,2020-10-15 12:30:00,2020
ketamine hydrochloride,8.0,24.0,2020-10-15 01:30:00,2020
ketamine hydrochloride,17.568421052631578,24.326315789473686,2020-10-15 02:30:00,2020
ketamine hydrochloride,17.568421052631578,24.326315789473686,2020-10-15 03:30:00,2020
ketamine hydrochloride,7.0,27.0,2020-10-15 04:30:00,2020
ketamine hydrochloride,17.568421052631578,24.326315789473686,2020-10-15 05:30:00,2020
ketamine hydrochloride,9.0,26.0,2020-10-15 06:30:00,2020
ketamine hydrochloride,10.0,25.0,2020-10-15 07:30:00,2020
ketamine hydrochloride,11.0,24.0,2020-10-15 08:30:00,2020
